Australia,Norris,Verstappen,Russell,Antonelli,Albon,Stroll,Hülkenberg,Leclerc,Piastri,Hamilton,Gasly,Tsunoda,Ocon,Bearman,Lawson,Bortoleto,Alonso,Sainz,Doohan,Hadjar
Belgium,Piastri,Norris,Leclerc,Verstappen,Russell,Albon,Hamilton,Lawson,Bortoleto,Gasly,Bearman,Hülkenberg,Tsunoda,Stroll,Ocon,Antonelli,Alonso,Sainz,Colapinto,Hadjar
Hungary,Norris,Piastri,Russell,Leclerc,Alonso,Bortoleto,Stroll,Lawson,Verstappen,Antonelli,Hadjar,Hamilton,Hülkenberg,Sainz,Albon,Ocon,Tsunoda,Colapinto,Gasly,Bearman
Netherlands,Piastri,Verstappen,Hadjar,Russell,Albon,Bearman,Stroll,Alonso,Tsunoda,Ocon,Colapinto,Lawson,Sainz,Hülkenberg,Bortoleto,Antonelli,Gasly,Norris,Leclerc,Hamilton
Italy,Verstappen,Norris,Piastri,Leclerc,Russell,Hamilton,Albon,Bortoleto,Antonelli,Hadjar,Sainz,Bearman,Tsunoda,Lawson,Ocon,Gasly,Colapinto,Stroll,Alonso,Hülkenberg
Azerbaijan,Verstappen,Russell,Sainz,Antonelli,Lawson,Tsunoda,Norris,Hamilton,Leclerc,Hadjar,Bortoleto,Bearman,Albon,Ocon,Alonso,Hülkenberg,Stroll,Gasly,Colapinto,Piastri
Singapore,Russell,Verstappen,Norris,Piastri,Antonelli,Leclerc,Alonso,Hamilton,Bearman,Sainz,Hadjar,Tsunoda,Stroll,Albon,Lawson,Colapinto,Bortoleto,Ocon,Gasly,Hülkenberg
USA Sprint,Verstappen,Russell,Sainz,Hamilton,Leclerc,Albon,Tsunoda,Antonelli,Lawson,Gasly,Bortoleto,Hadjar,Hülkenberg,Colapinto,Bearman,Ocon,Stroll,Norris,Piastri,Alonso
USA,Verstappen,Norris,Leclerc,Hamilton,Piastri,Russell,Tsunoda,Hülkenberg,Bearman,Alonso,Lawson,Stroll,Antonelli,Albon,Ocon,Hadjar,Colapinto,Bortoleto,Gasly,Sainz
Mexico,Norris,Leclerc,Verstappen,Bearman,Piastri,Antonelli,Russell,Hamilton,Ocon,Bortoleto,Tsunoda,Albon,Hadjar,Stroll,Gasly,Colapinto,Sainz,Alonso,Hülkenberg,Lawson
Brazil Sprint,Norris,Antonelli,Russell,Verstappen,Leclerc,Alonso,Hamilton,Gasly,Stroll,Hadjar,Ocon,Bearman,Tsunoda,Sainz,Hülkenberg,Lawson,Albon,Bortoleto,Piastri,Colapinto
Brazil,Norris,Antonelli,Verstappen,Russell,Piastri,Bearman,Lawson,Hadjar,Hülkenberg,Gasly,Albon,Ocon,Sainz,Alonso,Colapinto,Stroll,Tsunoda,Hamilton,Leclerc,Bortoleto
Las Vegas,Verstappen,Russell,Antonelli,Leclerc,Sainz,Hadjar,Hülkenberg,Hamilton,Ocon,Bearman,Alonso,Tsunoda,Gasly,Lawson,Colapinto,Albon,Bortoleto,Stroll,Norris,Piastri
Qatar Sprint,Piastri,Russell,Norris,Verstappen,Tsunoda,Antonelli,Alonso,Sainz,Hadjar,Albon,Bortoleto,Bearman,Leclerc,Lawson,Ocon,Hülkenberg,Hamilton,Gasly,Stroll,Colapinto
Qatar,Verstappen,Piastri,Sainz,Norris,Antonelli,Russell,Alonso,Leclerc,Lawson,Tsunoda,Albon,Hamilton,Bortoleto,Colapinto,Ocon,Gasly,Stroll,Hadjar,Bearman,Hülkenberg
Abu Dhabi,Verstappen,Piastri,Norris,Leclerc,Russell,Alonso,Ocon,Hamilton,Bearman,Hülkenberg,Stroll,Bortoleto,Sainz,Tsunoda,Antonelli,Albon,Hadjar,Lawson,Gasly,Colapinto
